SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
GTRK,TQBR,ГТМ ао,307.2,10,100.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""ГТМ"" ао",,FNDT,EQIN,,0.1,313.5,SUR,2024-07-12,58462120,RU000A0ZYD22,GTM,1-01-84907-H,307.8,SUR,1,3,2024-07-16
HHRU,TQBR,iHHRU-адр,4715.0,1,0.0,A,Т+: Акции и ДР - безадрес.,0,АДР HeadHunter Group ORD SHS,,FNDT,EQIN,,1.0,4675.0,USD,2024-07-12,0,US42207L1061,ADR HeadHunter Group ORD SHS,,4715.0,SUR,D,1,2024-07-16
HIMCP,TQBR,Химпром ап,24.42,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Химпром ПАО ап,,FNDT,EQIN,,0.02,24.56,SUR,2024-07-12,229631402,RU0009099006,Himprom ap,2-01-55076-D,24.46,SUR,2,3,2024-07-16
HNFG,TQBR,ХЭНДЕРСОН,669.5,1,50.0,A,Т+: Акции и ДР - безадрес.,1,ХЭНДЕРСОН ао,,FNDT,EQIN,,0.1,667.5,SUR,2024-07-12,40444445,RU000A106XF2,HENDERSON,1-01-03109-G,669.5,SUR,1,2,2024-07-16
HYDR,TQBR,РусГидро,0.6051,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,"ПАО ""РусГидро""",,FNDT,EQIN,,0.0001,0.6085,SUR,2024-07-12,444793377038,RU000A0JPKH7,RusGidro,1-01-55038-E,0.6062,SUR,1,1,2024-07-16
IGST,TQBR,Ижсталь2ао,9120.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,Ижсталь ПАО ао 2в.,,FNDT,EQIN,,20.0,9200.0,SUR,2024-07-12,800729,RU0002155292,Izhstal 2ao,1-02-30078-D,9120.0,SUR,1,3,2024-07-16
IGSTP,TQBR,Ижсталь ап,6200.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,Ижсталь ПАО ап,,FNDT,EQIN,,10.0,6210.0,SUR,2024-07-12,266910,RU0002155300,Izhstal ap,2-02-30078-D,6160.0,SUR,2,3,2024-07-16
INGR,TQBR,ИНГРАД ао,1483.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,ИНГРАД ПАО ао,,FNDT,EQIN,,1.0,1489.0,SUR,2024-07-12,41220793,RU000A0DJ9B4,INGRAD,1-01-50020-A,1484.0,SUR,1,3,2024-07-16
IRAO,TQBR,ИнтерРАОао,3.75,100,2.809767,A,Т+: Акции и ДР - безадрес.,4,"""Интер РАО"" ПАО ао",,FNDT,EQIN,,0.0005,3.7425,SUR,2024-07-12,104400000000,RU000A0JPNM1,Inter RAO ao,1-04-33498-E,3.7435,SUR,1,1,2024-07-16
IRKT,TQBR,Яковлев-3,51.1,100,3.0,A,Т+: Акции и ДР - безадрес.,2,"""Яковлев"" ПАО ак.об.-3",,FNDT,EQIN,,0.05,51.1,SUR,2024-07-12,11686422311,RU0006752979,Yakovlev-3,1-03-00040-A,50.45,SUR,1,3,2024-07-16
